	updated_name	updated_smiles	status
0	(6r)_bh4	C[C@@H]([C@@H]([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O	core
1	2-Ketobutyrate	CCC(=O)C(=O)[O-]	core
2	7_8_dihydro_l_biopterin	CC(C([C@H]1CNC2=C(N1)C(=O)NC(=N2)N)O)O	core
3	7_dhc	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC=C4[C@@]3(CC[C@@H](C4)O)C)C	core
4	acetyl-CoA(4-)	CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O	core
5	adenosine	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N	core
6	adenylosuccinic_acid	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O	core
7	ADP(3-)	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N	core
8	ATP(4-)	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N	core
9	beta-Alanine zwitterion	C(C[NH3+])C(=O)[O-]	core
10	b_estradiol	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=C3C=CC(=C4)O	core
11	baiba	CC(CN)C(=O)O	core
12	butyrl_coa	CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	core
13	cdp	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O)O	core
14	cholesterol	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C	core
15	Citrate	C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O	core
16	Cytidine 5'-monophosphate(2-)	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O	core
17	coa	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O	core
18	coq10	CC1=C(C(=O)C(=C(C1=O)OC)OC)C/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C	core
19	alpha-D-glucose 1-phosphate(2-)	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])O)O)O)O	core
20	N-phosphocreatinate	C[N+](=C(N)NP(=O)([O-])[O-])CC(=O)[O-]	core
21	CTP(4-)	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O	core
22	cytidine	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O	core
23	cytosine	C1=C(NC(=O)N=C1)N	core
24	d_lactate	C[C@H](C(=O)[O-])O	core
25	d_mannitol	C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O	core
26	dadp	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O	core
27	dATP(4-)	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O	core
28	dCTP(4-)	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O	core
29	dGTP(4-)	C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O	core
30	don	C(CC(=O)C=[N+]=[N-])[C@@H](C(=O)O)N	core
31	dTMP(2-)	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])[O-])O	core
32	dTTP(4-)	CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O	core
33	du	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O	core
34	f6p	C([C@@H]1[C@H]([C@@H]([C@](O1)(CO)O)O)O)OP(=O)(O)O	core
35	f_1_6_p	C([C@@H]1[C@H]([C@@H]([C@](O1)(COP(=O)([O-])[O-])O)O)O)OP(=O)([O-])[O-]	core
36	FAD(3-)	CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O	core
37	D-glyceraldehyde 3-phosphate(2-)	C([C@H](C=O)O)OP(=O)([O-])[O-]	core
38	alpha-D-glucose 6-phosphate(2-)	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O)OP(=O)([O-])[O-]	core
39	GDP(3-)	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N	core
